parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21
1,Townhouse,2024,490.0,5/232 sussex street,pascoe vale,3044,2,1,-37.722409,144.9514222,210031236,Greater Melbourne
4,House,2024,650.0,11 barnet street,highett,3190,4,1,-37.949917,145.0319855,208011171,Greater Melbourne
1,Unit,2024,470.0,6/11a pine avenue,elwood,3184,2,1,-37.8871597,144.9886016,206051129,Greater Melbourne
2,House,2024,640.0,9 chiltern way,wollert,3750,4,2,-37.60999839999999,144.9997566,209041437,Greater Melbourne
4,House,2024,550.0,92 kanooka grove,clayton,3168,3,2,-37.9243575,145.1258359,212051568,Greater Melbourne
1,Unit,2024,520.0,7/47 patterson street,bonbeach,3196,2,1,-38.0679487,145.1228823,208031186,Greater Melbourne
1,Unit,2024,600.0,205/366 church st,richmond,3121,1,1,-37.8229378,144.9982295,206071517,Greater Melbourne
0,Unit,2024,650.0,1116/555 swanston street,carlton,3053,2,1,-37.8057745,144.9626168,206041117,Greater Melbourne
2,House,2024,595.0,20 casone street,clyde,3978,4,2,-38.1316696,145.3713108,212031303,Greater Melbourne
2,House,2024,1050.0,15 grandview road,chadstone,3148,4,3,-37.8745807,145.107142,212051319,Greater Melbourne
2,Townhouse,2024,650.0,1/54 henry st,st albans,3021,3,2,-37.7344877,144.8012017,213011334,Greater Melbourne
1,House,2024,385.0,22 glenroy road,glenroy,3046,3,1,-37.70704,144.936261,210031535,Greater Melbourne
1,House,2024,450.0,26 nimmo crescent,kurunjang,3337,3,1,-37.6720463,144.5892038,213041576,Greater Melbourne
1,Unit,2024,500.0,8/77 harold street,hawthorn east,3123,2,1,-37.827841,145.0567219,207011152,Greater Melbourne
1,House,2024,550.0,92 mary street,officer,3809,3,2,-38.0758524,145.4241709,212011546,Greater Melbourne
1,Unit,2024,480.0,8/40-42 kingsville street,kingsville,3012,2,1,-37.809444,144.878092,213031350,Greater Melbourne
2,House,2024,470.0,11 blackwood place,beveridge,3753,4,2,-37.4804299,144.9574553,209041224,Greater Melbourne
4,House,2024,2800.0,60 domain street,south yarra,3141,4,4,-37.8357408,144.9787017,206041125,Greater Melbourne
2,House,2024,550.0,5 goodwill road,clyde north,3978,4,2,-38.1038639,145.3924786,212031556,Greater Melbourne
1,Unit,2024,495.0,1 hilltop court,yarra junction,3797,2,1,-37.7858488,145.611825,211051286,Greater Melbourne
2,House,2024,580.0,23 ashton street,bacchus marsh,3340,4,2,-37.673553,144.4107837,213041353,Greater Melbourne
2,House,2024,1300.0,20 mulsanne way,donvale,3111,5,2,-37.7972323,145.1812636,211021261,Greater Melbourne
1,Unit,2024,663.0,94 pun road,windsor,3181,1,1,-37.8547215,144.992833,206061136,Greater Melbourne
