,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
99,4,House,2024,540.0,22 longfin crescent,san remo,3925.0,4,3,-38.5227539,145.3765471,205031093,Rest of Vic.,123.39888
100,3,House,2024,360.0,15 hyacinth grove,wendouree,3355.0,2,1,-37.5270782,143.822063,201011008,Rest of Vic.,6.89195
101,1,House,2024,450.0,29 ferndale parade,highton,3216.0,3,1,-38.17086440000001,144.3240831,203021042,Rest of Vic.,5.52425
102,1,Unit,2024,370.0,1/263a maude street,shepparton,3630.0,2,1,-36.3820963,145.4008707,216031594,Rest of Vic.,0.34146
103,0,House,2024,460.0,412a lydiard street north north,soldiers hill,3350.0,3,2,-37.5521316,143.8598418,201011482,Rest of Vic.,1.42003
104,4,House,2024,550.0,63 strathclyde crescent,woodend,3442.0,2,2,-37.3856183,144.5206067,202021031,Rest of Vic.,68.16825
105,1,House,2024,585.0,25 little street,daylesford,3460.0,3,2,-37.3341871,144.1461804,201021011,Rest of Vic.,43.806599999999996
106,2,House,2024,460.0,20 gooch court,wheatsheaf,3461.0,3,1,-37.3142229,144.2209973,201021011,Rest of Vic.,50.86508
107,1,Unit,2024,370.0,219 merriang south road,merriang south,3737.0,2,1,-36.5921523,146.6818009,204031071,Rest of Vic.,72.3192
108,2,House,2024,550.0,12 italianate street,charlemont,3217.0,4,2,-38.2216511,144.3669069,203021485,Rest of Vic.,9.140600000000001
109,1,House,2024,340.0,44 ontario avenue,corio,3214.0,3,1,-38.0779287,144.3601646,203021486,Rest of Vic.,8.75859
110,0,Unit,2024,580.0,2/2-4 queen st,bendigo,3550.0,2,1,-36.7601775,144.2815026,202011018,Rest of Vic.,0.171
111,4,House,2024,390.0,14 murrell avenue,portland,3305.0,4,1,-38.3289591,141.5959329,217011422,Rest of Vic.,97.89557
112,1,Townhouse,2024,410.0,25a paratone crescent,st albans park,3219.0,2,1,-38.1936069,144.3953309,203021045,Rest of Vic.,7.07173
113,1,Unit,2024,410.0,3/172 roslyn road,belmont,3216.0,2,1,-38.1731795,144.3269131,203021037,Rest of Vic.,5.17207
114,2,House,2024,520.0,28 palm avenue,paynesville,3880.0,3,2,-37.9036319,147.7116169,205021086,Rest of Vic.,128.77432000000002
115,1,Unit,2024,430.0,1/38 oak street,seymour,3660.0,2,1,-37.0250537,145.1452684,204011059,Rest of Vic.,80.48292
116,2,House,2024,460.0,23 link avenue,kilmore,3764.0,3,2,-37.30310559999999,144.963424,204011056,Rest of Vic.,71.57075
117,1,Unit,2024,320.0,2/8-10 john street,traralgon,3844.0,1,1,-38.19177699999999,146.5486156,205041493,Rest of Vic.,1.24402
118,1,Unit,2024,350.0,9/10 fitzroy street,geelong,3220.0,1,1,-38.1493639,144.3707998,203021039,Rest of Vic.,1.30527
119,2,Townhouse,2024,450.0,15 mulquiney crescent,highton,3216.0,2,1,-38.1887143,144.3141522,203021042,Rest of Vic.,7.90951
120,1,Unit,2024,600.0,5/169-171 hogan street,tatura,3616.0,2,2,-36.4399541,145.230039,216031419,Rest of Vic.,19.36805
121,2,House,2024,410.0,55 lovenear grove,ballarat east,3350.0,3,1,-37.5708866,143.8824036,201011481,Rest of Vic.,2.9686
122,2,House,2024,380.0,23 findlay street,portland,3305.0,3,1,-38.3594201,141.6193655,217011422,Rest of Vic.,104.26656
123,0,House,2024,300.0,54 elizabeth street,horsham,3400.0,3,1,-36.7165656,142.1826057,215011388,Rest of Vic.,228.54867000000002
124,1,Townhouse,2024,350.0,4 bastow lane,lucas,3350.0,3,2,-37.5504611,143.7812262,201011001,Rest of Vic.,7.5848
125,1,House,2024,380.0,205a dowling st,wendouree,3355.0,3,1,-37.5401052,143.839949,201011008,Rest of Vic.,3.85819
126,2,House,2024,400.0,25 malmesbury street,wendouree,3355.0,3,1,-37.5251767,143.8318032,201011008,Rest of Vic.,6.19322
127,2,House,2024,450.0,10 cassowary way,winter valley,3358.0,4,2,-37.5715174,143.7987022,201011006,Rest of Vic.,7.41885
128,3,House,2024,495.0,8 chucklecreek lane,armstrong creek,3217.0,3,2,-38.2334169,144.3741301,203031489,Rest of Vic.,10.74458
129,2,House,2024,500.0,16 miramar drive,armstrong creek,3217.0,4,2,-38.2313408,144.3594177,203031489,Rest of Vic.,10.62926
130,1,House,2024,530.0,28 carson street,shepparton,3630.0,3,1,-36.3650615,145.4095839,216031416,Rest of Vic.,2.79702
131,0,Unit,2024,450.0,1b murray road,queenscliff,3225.0,2,1,-38.271039,144.6320907,203031052,Rest of Vic.,29.65931
132,3,House,2024,550.0,125 mcdonalds road,clunes,3370.0,3,1,-37.2699582,143.7703527,201021010,Rest of Vic.,39.71118
133,1,House,2024,530.0,6 carson street,shepparton,3630.0,3,1,-36.3647881,145.4075677,216031416,Rest of Vic.,2.61422
134,1,Unit,2024,420.0,1/14 airey street,manifold heights,3218.0,2,1,-38.1420495,144.3350385,203021040,Rest of Vic.,2.65403
135,2,House,2024,480.0,13 butler street,lucas,3350.0,4,2,-37.5571898,143.7822886,201011001,Rest of Vic.,9.6562
136,2,House,2024,450.0,13 sprinter way,winter valley,3358.0,4,2,-37.5731018,143.7891994,201011006,Rest of Vic.,8.34957
137,1,House,2024,450.0,66 streeton close,corio,3214.0,3,1,-38.0612887,144.3708591,203021486,Rest of Vic.,11.95314
138,1,House,2024,430.0,1200 havelock street,ballarat north,3350.0,3,1,-37.53703369999999,143.8678945,201011482,Rest of Vic.,3.69308
139,2,House,2024,420.0,2 ada rose heights,brown hill,3350.0,3,2,-37.5582616,143.9080902,201011481,Rest of Vic.,4.78625
140,2,House,2024,560.0,11 momentum drive,mount duneed,3217.0,4,2,-38.2162683,144.3239225,203021487,Rest of Vic.,9.87859
141,2,House,2024,520.0,11 rusticana court,mildura,3500.0,3,2,-34.2014098,142.1397121,215021470,Rest of Vic.,1.3413499999999998
142,0,House,2024,320.0,9/60 halpin crescent,shepparton,3630.0,1,1,-36.36335510000001,145.4007707,216031416,Rest of Vic.,2.66181
143,1,House,2024,470.0,3/20 yaraan street,bell park,3215.0,2,1,-38.1121217,144.3349143,203021047,Rest of Vic.,6.48996
144,2,House,2024,425.0,14a sprinter way,winter valley,3358.0,4,2,-37.5726853,143.7888195,201011006,Rest of Vic.,8.38632
145,4,House,2024,3461.538461538461,20 high plains road,bogong,3699.0,3,2,-36.8047187,147.2236166,204031069,Rest of Vic.,98.66246000000001
146,1,House,2024,550.0,23 kalimna street,hamlyn heights,3215.0,3,2,-38.1205135,144.3298813,203021040,Rest of Vic.,6.00611
147,2,House,2024,510.0,258 warralily boulevard,armstrong creek,3217.0,4,2,-38.2398479,144.3550354,203031489,Rest of Vic.,11.93285
148,1,House,2024,380.0,21 thorburn st,bell park,3215.0,3,1,-38.1123328,144.3396912,203021047,Rest of Vic.,6.22654
149,1,Unit,2024,350.0,19/216 forest street,wendouree,3355.0,2,1,-37.538828,143.83298,201011008,Rest of Vic.,4.9046199999999995
150,2,House,2024,390.0,5 heron street,fryerstown,3451.0,3,1,-37.1373471,144.2500449,202021028,Rest of Vic.,49.969120000000004
151,2,House,2024,380.0,150 ballarat road,hamlyn heights,3215.0,3,1,-38.1156447,144.3297114,203021040,Rest of Vic.,6.08475
152,2,House,2024,550.0,34 shipstern street,armstrong creek,3217.0,4,2,-38.2279775,144.3658126,203031489,Rest of Vic.,9.88695
153,2,House,2024,420.0,19 karana ave,grovedale,3216.0,3,1,-38.21009250000001,144.3325825,203021487,Rest of Vic.,9.366280000000001
154,2,House,2024,525.0,29 palm springs drive,mildura,3500.0,3,2,-34.2202365,142.1355946,215021470,Rest of Vic.,4.578060000000001
155,1,House,2024,560.0,30 boardwalk boulevard,cowes,3922.0,4,2,-38.4593484,145.254979,205031091,Rest of Vic.,137.82189000000002
156,1,Unit,2024,500.0,2/148 sobraon street,shepparton,3630.0,2,1,-36.3871786,145.4110199,216031594,Rest of Vic.,1.9428699999999999
157,2,House,2024,450.0,18 harold street,wendouree,3355.0,3,2,-37.5307469,143.8322438,201011008,Rest of Vic.,5.5408
158,2,House,2024,470.0,36 verdale drive,alfredton,3350.0,4,2,-37.5645604,143.7875977,201011001,Rest of Vic.,8.332889999999999
159,1,House,2024,550.0,33 bay street,rippleside,3215.0,3,1,-38.1215217,144.3570859,203021047,Rest of Vic.,3.98871
160,1,House,2024,450.0,36-38 hunter street,rutherglen,3685.0,3,1,-36.054078,146.4712841,204021065,Rest of Vic.,42.07894
161,2,House,2024,570.0,11 lubec street,lara,3212.0,4,2,-38.0164985,144.3765472,203021043,Rest of Vic.,20.384
162,2,House,2024,1000.0,32 riviera drive,jan juc,3228.0,4,3,-38.3508494,144.291736,203031053,Rest of Vic.,25.79354
163,2,House,2024,850.0,1 whalers court,portland,3305.0,4,1,-38.3363787,141.6076534,217011422,Rest of Vic.,98.73552000000001
164,3,House,2024,350.0,56 maple avenue,wendouree,3355.0,3,1,-37.5284732,143.822374,201011008,Rest of Vic.,6.47692
165,2,House,2024,560.0,16 camden street,lucknow,3875.0,4,2,-37.8035186,147.652849,205021081,Rest of Vic.,121.61027
166,2,Townhouse,2024,430.0,19 bealiba road,moe,3825.0,3,2,-38.1833788,146.2605928,205041095,Rest of Vic.,30.65502
167,2,House,2024,470.0,7 whipbird way,st leonards,3223.0,4,2,-38.1905718,144.7005153,203031051,Rest of Vic.,32.22212
168,3,House,2024,570.0,12 jack brawn ave,churchill,3842.0,4,2,-38.3099347,146.4006729,205041094,Rest of Vic.,22.62012
169,2,House,2024,480.0,21a morgan street,cowes,3922.0,3,2,-38.4586617,145.2406429,205031091,Rest of Vic.,139.27192000000002
170,2,House,2024,550.0,18 filandra street,wangaratta,3677.0,3,2,-36.34035739999999,146.2911113,204021066,Rest of Vic.,72.88458
171,1,Townhouse,2024,420.0,5a railway street,kangaroo flat,3555.0,3,1,-36.8042337,144.245618,202011022,Rest of Vic.,7.60501
172,2,House,2024,430.0,57 vale st,moe,3825.0,3,1,-38.1821038,146.2530192,205041095,Rest of Vic.,34.22444
173,1,Townhouse,2024,460.0,5/70 station road,marshall,3216.0,3,2,-38.1960891,144.3554648,203021485,Rest of Vic.,6.43295
174,2,House,2024,695.0,8 stringers lane,geelong,3220.0,3,2,-38.157801,144.3630926,203021039,Rest of Vic.,1.39795
175,2,House,2024,460.0,542 richards street,canadian,3350.0,3,2,-37.5809832,143.8856826,201011483,Rest of Vic.,3.55572
176,1,House,2024,440.0,42 valley avenue,mount beauty,3699.0,3,1,-36.7333297,147.1808859,204031069,Rest of Vic.,85.82573
177,2,House,2024,710.0,25 gascoyne circuit,lara,3212.0,4,2,-38.0176272,144.3535541,203021043,Rest of Vic.,19.58907
