,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,dist_to_city,dist_to_education,dist_to_parks_and_gardens,dist_to_train_station,dist_to_shopping,dist_to_healthcare,SA2_CODE21,SA2_NAME21,GCC_NAME21
40,40,40,40,4,House,2024,420.0,5 sofia court,wodonga,3690.0,3,1,-36.1271671,146.9033783,1.8715,0.12882,0.13968,5.54978,2.41671,3.31495,204031492,Wodonga,Rest of Vic.
41,41,41,41,0,Studio,2024,395.0,8 garner lane,st leonards,3223.0,1,1,-38.1791716,144.7047954,32.72926,1.41601,0.76251,74.91078,1.56569,12.34702,203031051,Portarlington,Rest of Vic.
42,42,42,42,1,Unit,2024,250.0,2/123 cobb street,penshurst,3289.0,2,1,-37.8782576,142.2855463,68.75665,0.33302,1.0613,30.5528,30.18768,30.38689,217011423,Southern Grampians,Rest of Vic.
43,43,43,43,0,House,2024,550.0,37 clonard avenue,geelong west,3218.0,3,1,-38.1354783,144.3443963,2.78436,0.42057,0.75814,1.9837,0.73929,1.0971099999999998,203021040,Geelong West - Hamlyn Heights,Rest of Vic.
44,44,44,44,2,House,2024,540.0,38 manet ave,grovedale,3216.0,3,2,-38.2064473,144.3135023,8.61326,1.48719,0.55306,1.46641,0.8099400000000001,2.62108,203021487,Grovedale - Mount Duneed,Rest of Vic.
45,45,45,45,2,House,2024,590.0,11 christian rise,traralgon,3844.0,4,2,-38.1803534,146.5591356,3.82582,3.87338,2.45202,4.01006,1.46469,4.10473,205041493,Traralgon - East,Rest of Vic.
46,46,46,46,0,Unit,2024,380.0,115a mckillop street,geelong,3220.0,1,1,-38.1551359,144.3648864,1.2823399999999998,1.18228,0.3611,1.12348,0.8277599999999999,0.5518200000000001,203021039,Geelong,Rest of Vic.
47,47,47,47,6,House,2024,990.0,170-240 peak school road,lara,3212.0,3,1,-37.9764728,144.37176,25.84109,9.46935,8.58502,10.7154,8.9307,17.69467,203021043,Lara,Rest of Vic.
48,48,48,48,2,House,2024,600.0,17 george street,traralgon,3844.0,3,1,-38.1908372,146.5402546,0.75598,0.63616,0.21642,1.6291,1.0023,1.10089,205041493,Traralgon - East,Rest of Vic.
49,49,49,49,1,Unit,2024,380.0,6/2 garden avenue,bairnsdale,3875.0,2,1,-37.8218971,147.6090285,116.30615,0.37083,1.68453,2.5951500000000003,2.4155100000000003,1.71162,205021081,Bairnsdale,Rest of Vic.
50,50,50,50,2,House,2024,360.0,910 warrenheip street,buninyong,3357.0,3,1,-37.6544633,143.8822338,11.3714,0.76415,0.21635,12.09695,0.65592,9.92941,201011005,Buninyong,Rest of Vic.
51,51,51,51,2,House,2024,500.0,101 berrigan drive,bonshaw,3352.0,4,2,-37.5990943,143.8228986,6.49008,1.62925,0.67264,6.66838,2.3846700000000003,3.27566,201011006,Delacombe,Rest of Vic.
52,52,52,52,0,House,2024,400.0,523 corangamite lake road,cororooke,3254.0,3,1,-38.2891352,143.5222146,97.86998,2.0731,10.666049999999998,10.30023,9.90308,9.654,217031473,Colac Surrounds,Rest of Vic.
53,53,53,53,0,House,2024,420.0,3 union street,kyabram,3620.0,3,1,-36.3188304,145.0477048,37.85352,0.78477,0.52063,38.26188,0.81645,1.06178,216011407,Kyabram,Rest of Vic.
54,54,54,54,2,House,2024,390.0,1/71 washington street,traralgon,3844.0,3,2,-38.1968362,146.520161,1.94274,0.6121,2.44363,2.6796,0.32844,2.14216,205041494,Traralgon - West,Rest of Vic.
55,55,55,55,2,House,2024,475.0,577 san mateo avenue,mildura,3500.0,3,2,-34.2161584,142.1347466,3.31232,1.61428,1.42042,15.37166,0.8959,5.24403,215021470,Mildura - South,Rest of Vic.
56,56,56,56,1,House,2024,320.0,23 talbot street south,ballarat central,3350.0,2,1,-37.5618233,143.842935,1.89369,0.60264,1.61578,2.03806,0.79298,0.34051,201011002,Ballarat,Rest of Vic.
57,57,57,57,2,House,2024,450.0,4 sharland rd,corio,3214.0,3,1,-38.0666311,144.3782238,11.18448,1.5757,0.23451,1.76873,0.5699299999999999,3.96207,203021486,Corio - Lovely Banks,Rest of Vic.
58,58,58,58,2,House,2024,420.0,1783 sturt street,alfredton,3350.0,3,2,-37.550103,143.8046,5.87699,1.77409,0.47804,4.457949999999999,2.16999,2.00582,201011001,Alfredton,Rest of Vic.
59,59,59,59,0,House,2024,450.0,35 anderson avenue,inverloch,3996.0,3,1,-38.6297675,145.7392692,99.58578,1.80401,0.79479,70.69257,1.74479,14.52727,205031093,Wonthaggi - Inverloch,Rest of Vic.
60,60,60,60,1,House,2024,370.0,67 gillies street,maryborough,3465.0,3,1,-37.0528914,143.7465737,66.24808999999999,1.33022,0.71385,1.2698699999999998,1.12213,1.92728,201031016,Maryborough (Vic.),Rest of Vic.
61,61,61,61,2,Unit,2024,330.0,17 brown street,trafalgar,3824.0,1,1,-38.2083903,146.1614443,39.47469,2.37604,1.88279,0.74221,0.86401,10.27668,205011078,Trafalgar (Vic.),Rest of Vic.
62,62,62,62,1,Unit,2024,310.0,2/3-5 wandana drive,wandana heights,3216.0,1,1,-38.1717138,144.3086974,7.13249,1.10623,0.33218,7.71383,1.69964,3.24008,203021042,Highton,Rest of Vic.
