,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
154,4,House,2024,620.0,203 oriel road,heidelberg west,3081.0,4,1,-37.7433988,145.0422264,209011199,Greater Melbourne,13.73531
155,0,Unit,2024,600.0,803/263 franklin street,melbourne,3000.0,2,1,-37.8096191,144.9560827,206041504,Greater Melbourne,1.2315699999999998
156,4,House,2024,950.0,10 gray street,mount martha,3934.0,4,3,-38.2867395,145.0039362,214021382,Greater Melbourne,80.74316
157,1,Unit,2024,480.0,41a lavender park road,eltham,3095.0,2,1,-37.7318298,145.1465941,209031209,Greater Melbourne,23.64833
158,1,Unit,2024,530.0,2/46 bowes avenue,airport west,3042.0,2,2,-37.73078539999999,144.8852539,210011226,Greater Melbourne,14.82701
159,1,Unit,2024,600.0,26/73 river street,richmond,3121.0,2,2,-37.8189479,145.013148,206071518,Greater Melbourne,4.97588
160,0,Unit,2024,630.0,2906/318 russell street,melbourne,3000.0,1,1,-37.8091772,144.9667584,206041503,Greater Melbourne,1.00745
161,1,Unit,2024,1100.0,3001/60 kavanagh street,southbank,3006.0,3,2,-37.8242191,144.9635646,206041509,Greater Melbourne,1.8568399999999998
162,1,Unit,2024,460.0,4/69 lincoln road,essendon,3040.0,2,1,-37.7504298,144.9087879,206031501,Greater Melbourne,10.92573
163,1,Unit,2024,360.0,9/10 burnewang street,albion,3020.0,1,1,-37.78348130000001,144.8205964,213011328,Greater Melbourne,14.857370000000001
164,1,Unit,2024,675.0,807/7 aspen street,moonee ponds,3039.0,2,2,-37.7655561,144.9217946,206031116,Greater Melbourne,8.263879999999999
165,1,House,2024,430.0,14 harshaw road,thornhill park,3335.0,3,1,-37.7237127,144.620112,213041359,Greater Melbourne,45.49029
166,2,Townhouse,2024,680.0,51 hillsdale avenue,maribyrnong,3032.0,3,2,-37.7856987,144.8960637,213031349,Greater Melbourne,9.74944
167,1,Unit,2024,580.0,504/7 balcombe road,mentone,3194.0,2,2,-37.98212050000001,145.0705603,208031190,Greater Melbourne,27.733900000000002
168,2,House,2024,450.0,39 shillings road,mambourin,3024.0,3,2,-37.8885751,144.602393,213051468,Greater Melbourne,47.28286
169,2,House,2024,520.0,144 kirkpatrick boulevard,truganina,3029.0,3,2,-37.762859,144.6870557,213041359,Greater Melbourne,34.493660000000006
170,0,Unit,2024,550.0,7/24 fitzgerald street,south yarra,3141.0,1,1,-37.8425542,144.9929738,206061516,Greater Melbourne,5.25602
171,2,Townhouse,2024,1450.0,23b emma,caulfield south,3162.0,4,3,-37.8923344,145.0360231,208021178,Greater Melbourne,14.56732
172,0,Unit,2024,400.0,004b/12 albert street,hawthorn east,3123.0,1,1,-37.8236023,145.0480671,207011152,Greater Melbourne,10.19111
173,0,House,2024,750.0,77 lambeth street,kensington,3031.0,3,1,-37.791483,144.934243,206041121,Greater Melbourne,4.629359999999999
174,0,Unit,2024,520.0,406/6 leicester street,carlton,3053.0,1,1,-37.806138,144.9602874,206041117,Greater Melbourne,1.22901
175,1,House,2024,700.0,15 first avenue,murrumbeena,3163.0,2,1,-37.8987006,145.0663756,208021181,Greater Melbourne,16.34652
176,1,Unit,2024,650.0,2502/828 whitehorse road,box hill,3128.0,2,2,-37.817361,145.1173653,207031163,Greater Melbourne,19.40868
177,1,House,2024,480.0,2a richards street,coburg,3058.0,2,1,-37.7424702,144.9714894,206011497,Greater Melbourne,8.91127
178,1,Unit,2024,600.0,4/210 albion street,brunswick,3056.0,2,1,-37.7607613,144.9615677,206011495,Greater Melbourne,6.20949
179,1,Unit,2024,790.0,2407n/889 collins street,docklands,3008.0,2,1,-37.82091399999999,144.9418601,206041118,Greater Melbourne,2.6067
